rank	singular_value	error_estimate
295	882.317	3.25562e-12
296	881.276	3.49351e-12
297	881.026	3.01304e-12
298	879.412	3.30895e-12
299	878.216	3.50095e-12
300	876.74	3.4854e-12
301	874.341	3.49667e-12
302	873.218	3.33888e-12
303	871.851	3.31024e-12
304	870.971	3.37327e-12
305	870.409	3.43311e-12
306	869.486	3.22543e-12
307	868.928	3.30499e-12
308	868.352	3.19834e-12
309	866.825	3.38381e-12
310	864.527	3.24303e-12
311	864.231	3.36074e-12
312	863.147	3.4392e-12
313	862.6	3.46893e-12
314	861.851	3.23648e-12
315	860.904	3.28296e-12
316	860.166	3.31717e-12
317	859.568	3.32945e-12
318	858.24	3.32743e-12
319	856.029	3.28737e-12
320	854.241	3.53793e-12
321	853.816	3.53278e-12
322	851.789	3.28056e-12
323	850.579	3.27013e-12
324	849.538	3.42057e-12
325	848.745	3.26205e-12
326	848.037	3.21042e-12
327	847.523	3.35376e-12
328	846.626	3.34168e-12
329	845.929	3.4956e-12
330	844.527	3.2962e-12
331	843.126	3.29051e-12
332	841.511	3.12897e-12
333	838.949	3.48685e-12
334	838.111	3.35676e-12
335	837.341	3.28533e-12
336	835.759	3.28789e-12
337	835.163	3.2732e-12
338	834.538	3.19394e-12
339	833.17	3.28895e-12
340	831.994	3.25323e-12
341	830.573	3.19444e-12
342	829.973	3.23985e-12
343	828.72	3.26969e-12
344	827.47	3.14109e-12
345	826.932	3.29903e-12
346	826.16	3.2514e-12
347	825.771	3.33296e-12
348	824.849	3.36599e-12
349	824.281	3.20244e-12
350	823.514	3.16152e-12
351	820.866	3.32042e-12
352	820.402	3.35439e-12
353	818.495	3.39613e-12
354	818.026	3.38704e-12
355	816.862	3.32379e-12
356	815.335	3.05094e-12
357	813.673	3.17483e-12
358	812.676	3.18769e-12
359	811.913	3.22071e-12
360	811.488	3.11613e-12
361	810.656	3.34432e-12
362	810.022	3.36397e-12
363	809.413	3.3547e-12
364	808.693	3.34955e-12
365	807.623	3.17808e-12
366	807.338	3.29058e-12
367	806.23	3.2215e-12
368	805.893	3.17291e-12
369	804.701	3.16919e-12
370	804.013	3.12684e-12
371	803.578	3.13538e-12
372	803.025	3.23096e-12
373	802.301	3.19034e-12
374	801.333	3.33365e-12
375	799.682	3.33252e-12
376	798.232	3.35585e-12
377	797.205	3.25472e-12
378	796.532	3.24825e-12
379	794.784	3.21667e-12
380	794.43	3.3551e-12
381	791.918	3.20674e-12
382	789.938	3.23351e-12
383	789.263	3.0296e-12
384	788.612	3.23211e-12
385	788.458	3.26842e-12
386	787.181	3.42133e-12
387	786.333	3.40257e-12
388	784.595	3.20803e-12
389	782.655	3.1837e-12
390	782.311	3.22923e-12
391	781.219	3.11228e-12
392	780.877	3.06618e-12
393	780.028	3.07909e-12
394	779.256	3.02316e-12
395	778.332	3.07502e-12
396	777.685	3.12615e-12
397	776.874	3.07746e-12
398	776.261	3.01068e-12
399	775.387	3.2015e-12
400	774.471	3.02366e-12
401	774.206	3.05219e-12
402	772.779	2.99921e-12
403	772.428	3.04292e-12
404	772.038	2.99207e-12
405	771.246	2.97818e-12
406	769.59	2.98617e-12
407	768.598	3.04872e-12
408	767.775	3.14494e-12
409	766.957	3.22259e-12
410	765.914	3.23144e-12
411	764.917	3.2759e-12
412	764.237	3.13949e-12
413	763.991	3.11855e-12
414	763.478	3.18257e-12
415	763.045	3.2079e-12
416	762.231	3.17657e-12
417	761.572	3.15468e-12
418	760.942	3.19429e-12
419	760.474	3.24001e-12
420	759.601	3.22384e-12
421	758.707	3.13898e-12
422	758.629	3.1526e-12
423	757.564	3.19814e-12
424	757.118	3.31495e-12
425	756.388	3.30045e-12
426	755.531	3.26068e-12
427	755.082	3.19703e-12
428	754.355	3.16618e-12
429	753.557	3.31983e-12
430	752.372	3.14782e-12
431	751.688	3.11139e-12
432	751.167	3.0744e-12
433	750.429	3.13531e-12
434	750.224	3.34505e-12
435	749.001	3.23298e-12
436	748.283	3.20124e-12
437	748.036	3.24105e-12
438	747.743	3.45173e-12
439	746.996	3.25526e-12
440	746.335	3.2202e-12
441	745.363	3.12581e-12
442	743.481	3.18479e-12
443	742.711	3.37813e-12
444	742.015	3.15714e-12
445	741.391	3.05685e-12
446	740.384	3.15535e-12
447	739.738	3.14102e-12
448	738.195	3.21714e-12
449	737.631	3.20846e-12
450	736.955	3.29117e-12
451	736.603	3.19794e-12
452	735.343	3.1956e-12
453	734.593	3.1135e-12
454	733.838	2.95062e-12
455	733.099	2.96827e-12
456	731.902	3.31359e-12
457	731.089	3.10889e-12
458	730.457	3.08235e-12
459	730.329	3.05669e-12
460	729.77	3.07918e-12
461	729.413	3.13147e-12
462	728.333	3.10539e-12
463	727.85	3.05162e-12
464	727.541	3.06012e-12
465	726.751	3.19319e-12
466	724.668	3.10614e-12
467	723.608	3.07622e-12
468	722.693	3.28141e-12
469	722.044	3.38221e-12
470	720.788	3.10184e-12
471	720.176	3.31159e-12
472	719.216	3.18689e-12
473	718.715	3.1411e-12
474	718.25	3.11496e-12
475	717.557	3.00017e-12
476	716.584	3.06557e-12
477	715.139	3.16999e-12
478	714.578	3.03758e-12
479	714.162	3.04716e-12
480	712.381	3.07401e-12
481	711.742	3.04574e-12
482	711.396	3.17409e-12
483	710.838	3.23112e-12
484	709.986	3.16184e-12
485	709.714	2.91517e-12
486	709.562	3.22717e-12
487	708.604	3.0621e-12
488	708.016	3.3035e-12
489	707.086	3.06852e-12
490	706.291	2.9338e-12
491	706.218	3.0583e-12
492	705.548	3.10924e-12
493	704.603	3.20509e-12
494	704.17	3.09201e-12
495	703.846	3.05643e-12
496	702.815	3.10799e-12
497	702.438	3.14373e-12
498	702.234	3.1532e-12
499	701.273	3.14483e-12
500	700.589	3.16778e-12
501	700.377	3.08056e-12
502	700.217	3.12786e-12
503	698.934	3.08178e-12
504	698.519	3.1476e-12
505	698.074	3.1758e-12
506	697.4	3.06311e-12
507	697.122	3.09313e-12
508	696.233	3.19236e-12
509	695.621	7.35259e-12
510	695.193	7.11195e-11
511	694.444	5.32621e-11
512	693.715	4.53224e-11
513	693.299	4.3421e-11
514	692.823	1.08815e-10
515	691.524	9.09141e-10
516	691.093	1.8253e-09
517	690.625	5.94225e-09
518	690.037	1.22196e-08
519	689.654	2.45659e-07
520	689.072	1.96106e-07
521	688.507	3.10548e-06
522	688.036	2.28454e-06
523	687.332	6.60413e-06
524	686.433	7.44777e-06
525	686.078	4.85999e-06
526	685.386	5.45964e-05
527	684.969	3.95014e-05
528	684.529	8.38826e-05
529	683.995	6.14077e-05
530	683.194	6.89105e-05
531	682.486	0.000544033
532	682.256	0.000575229
533	681.753	0.000341866
534	680.401	0.00137233
535	679.757	0.0180036
536	679.592	0.0406949
537	679.131	0.0285047
538	678.926	0.0386027
539	678.603	0.0561394
540	677.985	0.051962
541	677.588	0.0558594
542	677.322	0.0368591
543	676.303	0.0559681
544	675.731	0.0708982
545	675.404	0.0687039
546	674.705	0.240696
547	674.591	0.430286
548	673.783	0.283336
549	673.307	0.0790365
550	673.204	0.0701307
551	672.629	0.212579
552	672.075	0.158452
553	671.915	0.0409874
554	671.532	0.0117186
555	670.839	0.0379381
556	670.099	0.0576498
557	670.013	0.197073
558	669.215	0.13808
559	668.71	0.0614327
560	668.507	0.0449492
561	666.58	0.0435514
562	666.407	0.485583
563	666.018	0.349047
564	664.926	0.0541104
565	664.647	0.0978821
566	663.919	0.0686088
567	663.429	0.0125053
568	662.029	0.407171
569	661.819	0.290279
570	661.27	0.053136
571	660.92	0.0427589
572	659.633	0.0213094
573	659.163	0.180532
574	659.014	0.1293
575	658.138	0.0411294
576	657.866	0.0272434
577	657.423	0.0355733
578	656.975	0.0262227
579	656.421	0.0132066
580	656.407	0.0308266
581	655.769	0.0208839
582	654.138	0.0058999
583	653.191	0.0041423
584	652.435	0.00220528
585	651.686	0.00214554
586	650.428	0.139249
587	650.054	0.104682
588	649.595	0.0488964
589	649.075	0.0539511
590	648.724	0.0321715
591	648.164	0.0140458
592	648.053	0.0113427
593	647.607	0.0381219
594	647.148	0.0275377
595	646.641	0.00544739
596	645.813	0.0242712
597	645.765	0.0226822
598	645.276	0.0260763
599	644.891	0.0169033
600	644.223	0.0660447
601	643.527	0.0578777
602	643.204	0.0283739
603	641.974	0.0800438
604	641.66	0.0989012
605	641.261	0.0805598
606	640.447	0.0405004
